Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,journey_day,journey_month,journey_weekday,is_weekend,quarter,dep_hour,dep_time_bin,Price_capped,Price_log
indigo,2019-03-24,banglore,new delhi,BLR → DEL,22:20:00,01:10 22 Mar,2h 50m,non-stop,No info,3897,24,3,6,1,1,22,Night,3897,8.268218880067506
air india,2019-05-01,kolkata,banglore,CCU → IXR → BBI → BLR,05:50:00,13:15,7h 25m,2 stops,No info,7662,1,5,2,0,2,5,Morning,7662,8.944158830970403
jet airways,2019-06-09,delhi,cochin,DEL → LKO → BOM → COK,09:25:00,04:25 10 Jun,19h,2 stops,No info,13882,9,6,6,1,2,9,Morning,13882,9.538420349034803
indigo,2019-05-12,kolkata,banglore,CCU → NAG → BLR,18:05:00,23:30,5h 25m,1 stop,No info,6218,12,5,6,1,2,18,Evening,6218,8.735364401103888
indigo,2019-03-01,banglore,new delhi,BLR → NAG → DEL,16:50:00,21:35,4h 45m,1 stop,No info,13302,1,3,4,0,1,16,Afternoon,13302,9.495744852683906
spicejet,2019-06-24,kolkata,banglore,CCU → BLR,09:00:00,11:25,2h 25m,non-stop,No info,3873,24,6,0,0,2,9,Morning,3873,8.262042843966942
jet airways,2019-03-12,banglore,new delhi,BLR → BOM → DEL,18:55:00,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087,12,3,1,0,1,18,Evening,11087,9.313618721429684
jet airways,2019-03-01,banglore,new delhi,BLR → BOM → DEL,08:00:00,05:05 02 Mar,21h 5m,1 stop,No info,22270,1,3,4,0,1,8,Morning,22270,10.01104066270085
jet airways,2019-03-12,banglore,new delhi,BLR → BOM → DEL,08:55:00,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,11087,12,3,1,0,1,8,Morning,11087,9.313618721429684
multiple carriers,2019-05-27,delhi,cochin,DEL → BOM → COK,11:25:00,19:15,7h 50m,1 stop,No info,8625,27,5,0,0,2,11,Morning,8625,9.062536177207788
air india,2019-06-01,delhi,cochin,DEL → BLR → COK,09:45:00,23:00,13h 15m,1 stop,No info,8907,1,6,5,1,2,9,Morning,8907,9.094705028377259
indigo,2019-04-18,kolkata,banglore,CCU → BLR,20:20:00,22:55,2h 35m,non-stop,No info,4174,18,4,3,0,2,20,Evening,4174,8.336869637284956
air india,2019-06-24,chennai,kolkata,MAA → CCU,11:40:00,13:55,2h 15m,non-stop,No info,4667,24,6,0,0,2,11,Morning,4667,8.448485993406447
jet airways,2019-05-09,kolkata,banglore,CCU → BOM → BLR,21:10:00,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663,9,5,3,0,2,21,Night,9663,9.176162920174596
indigo,2019-04-24,kolkata,banglore,CCU → BLR,17:15:00,19:50,2h 35m,non-stop,No info,4804,24,4,2,0,2,17,Evening,4804,8.477412321404392
air india,2019-03-03,delhi,cochin,DEL → AMD → BOM → COK,16:40:00,19:15 04 Mar,26h 35m,2 stops,No info,14011,3,3,6,1,1,16,Afternoon,14011,9.547669384317377
spicejet,2019-04-15,delhi,cochin,DEL → PNQ → COK,08:45:00,13:15,4h 30m,1 stop,No info,5830,15,4,0,0,2,8,Morning,5830,8.670943791222156
jet airways,2019-06-12,delhi,cochin,DEL → BOM → COK,14:00:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262,12,6,2,0,2,14,Afternoon,10262,9.236300473645715
air india,2019-06-12,delhi,cochin,DEL → CCU → BOM → COK,20:15:00,19:15 13 Jun,23h,2 stops,No info,13381,12,6,2,0,2,20,Evening,13381,9.501665799342762
jet airways,2019-05-27,delhi,cochin,DEL → BOM → COK,16:00:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898,27,5,0,0,2,16,Afternoon,12898,9.464905067965136
goair,2019-03-06,delhi,cochin,DEL → BOM → COK,14:10:00,19:20,5h 10m,1 stop,No info,19495,6,3,2,0,1,14,Afternoon,19495,9.877964595305043
air india,2019-03-21,banglore,new delhi,BLR → COK → DEL,22:00:00,13:20 19 Mar,15h 20m,1 stop,No info,6955,21,3,3,0,1,22,Night,6955,8.847359875474174
indigo,2019-04-03,banglore,delhi,BLR → DEL,04:00:00,06:50,2h 50m,non-stop,No info,3943,3,4,2,0,2,4,Late Night,3943,8.279950715722526
indigo,2019-05-01,banglore,delhi,BLR → DEL,18:55:00,21:50,2h 55m,non-stop,No info,4823,1,5,2,0,2,18,Evening,4823,8.481358738407021
jet airways,2019-05-06,kolkata,banglore,CCU → BOM → BLR,18:55:00,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757,6,5,0,0,2,18,Evening,7757,8.956479847999912
jet airways,2019-06-09,delhi,cochin,DEL → IDR → BOM → COK,21:25:00,12:35 10 Jun,15h 10m,2 stops,No info,13292,9,6,6,1,2,21,Night,13292,9.4949928598676
indigo,2019-06-01,delhi,cochin,DEL → LKO → COK,21:50:00,03:35 02 Jun,5h 45m,1 stop,No info,8238,1,6,5,1,2,21,Night,8238,9.01663425631559
goair,2019-05-15,delhi,cochin,DEL → BOM → COK,07:00:00,12:55,5h 55m,1 stop,No info,7682,15,5,2,0,2,7,Morning,7682,8.946765374867635
vistara,2019-06-18,banglore,delhi,BLR → DEL,09:45:00,12:35,2h 50m,non-stop,No info,4668,18,6,1,0,2,9,Morning,4668,8.448700194970938
vistara,2019-06-15,chennai,kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,3687,15,6,5,1,2,7,Morning,3687,8.212839584676484
vistara,2019-06-18,chennai,kolkata,MAA → CCU,07:05:00,09:20,2h 15m,non-stop,No info,3687,18,6,1,0,2,7,Morning,3687,8.212839584676484
air india,2019-05-01,kolkata,banglore,CCU → GAU → DEL → BLR,09:50:00,23:15,13h 25m,2 stops,No info,13227,1,5,2,0,2,9,Morning,13227,9.490091074101683
indigo,2019-04-06,banglore,delhi,BLR → DEL,04:00:00,06:50,2h 50m,non-stop,No info,4423,6,4,5,1,2,4,Late Night,4423,8.39479954320217
jet airways,2019-06-15,delhi,cochin,DEL → NAG → BOM → COK,14:35:00,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919,15,6,5,1,2,14,Afternoon,10919,9.298351249298896
jet airways,2019-05-18,delhi,cochin,DEL → BOM → COK,07:05:00,12:35,5h 30m,1 stop,In-flight meal not included,12373,18,5,5,1,2,7,Morning,12373,9.423352776090933
indigo,2019-06-27,delhi,cochin,DEL → BOM → COK,10:35:00,21:00,10h 25m,1 stop,No info,5894,27,6,3,0,2,10,Morning,5894,8.68185981297147
spicejet,2019-05-21,kolkata,banglore,CCU → MAA → BLR,15:05:00,20:20,5h 15m,1 stop,No info,4649,21,5,1,0,2,15,Afternoon,4649,8.444622498581403
air india,2019-05-18,kolkata,banglore,CCU → BLR,14:15:00,16:45,2h 30m,non-stop,No info,6245,18,5,5,1,2,14,Afternoon,6245,8.739696537843024
jet airways,2019-03-06,banglore,new delhi,BLR → BOM → DEL,07:00:00,13:15,6h 15m,1 stop,No info,19225,6,3,2,0,1,7,Morning,19225,9.864018808625762
jet airways,2019-06-03,delhi,cochin,DEL → BOM → COK,07:05:00,19:00,11h 55m,1 stop,No info,14924,3,6,0,0,2,7,Morning,14924,9.610792938260802
multiple carriers,2019-05-21,delhi,cochin,DEL → HYD → COK,07:05:00,18:10,11h 5m,1 stop,No info,9646,21,5,1,0,2,7,Morning,9646,9.174402265170553
air india,2019-03-15,banglore,new delhi,BLR → BOM → DEL,06:45:00,15:15,8h 30m,1 stop,No info,8714,15,3,4,0,1,6,Morning,8714,9.07280095795412
jet airways,2019-05-18,delhi,cochin,DEL → BOM → COK,20:55:00,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373,18,5,5,1,2,20,Evening,12373,9.423352776090933
air asia,2019-05-06,banglore,delhi,BLR → DEL,11:10:00,13:55,2h 45m,non-stop,No info,3383,6,5,0,0,2,11,Morning,3383,8.126813720726114
multiple carriers,2019-03-21,delhi,cochin,DEL → BOM → COK,09:00:00,21:00,12h,1 stop,No info,13062,21,3,3,0,1,9,Morning,13062,9.477539085486564
spicejet,2019-03-24,banglore,new delhi,BLR → DEL,05:45:00,08:35,2h 50m,non-stop,No check-in baggage included,3527,24,3,6,1,1,5,Morning,3527,8.168486417126681
indigo,2019-05-27,banglore,delhi,BLR → DEL,04:00:00,06:50,2h 50m,non-stop,No info,3943,27,5,0,0,2,4,Late Night,3943,8.279950715722526
air india,2019-05-03,chennai,kolkata,MAA → CCU,11:40:00,13:55,2h 15m,non-stop,No info,4667,3,5,4,0,2,11,Morning,4667,8.448485993406447
air india,2019-05-15,kolkata,banglore,CCU → HYD → BLR,19:00:00,11:05 16 May,16h 5m,1 stop,No info,6117,15,5,2,0,2,19,Evening,6117,8.718990524710849
jet airways,2019-06-27,delhi,cochin,DEL → AMD → BOM → COK,23:05:00,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150,27,6,3,0,2,23,Night,11150,9.319284458965361
jet airways,2019-03-09,delhi,cochin,DEL → COK,11:00:00,14:15,3h 15m,non-stop,In-flight meal not included,7202,9,3,5,1,1,11,Morning,7202,8.882252884889363
jet airways,2019-05-01,kolkata,banglore,CCU → DEL → BLR,09:35:00,10:55 02 May,25h 20m,1 stop,No info,12121,1,5,2,0,2,9,Morning,12121,9.402777262511231
indigo,2019-03-24,banglore,new delhi,BLR → DEL,22:20:00,01:10 28 Mar,2h 50m,non-stop,No info,4377,24,3,6,1,1,22,Night,4377,8.384347278082808
indigo,2019-06-18,banglore,delhi,BLR → DEL,21:15:00,00:15 19 Jun,3h,non-stop,No info,3943,18,6,1,0,2,21,Night,3943,8.279950715722526
air asia,2019-04-03,banglore,delhi,BLR → DEL,23:55:00,02:45 04 Apr,2h 50m,non-stop,No info,4483,3,4,2,0,2,23,Night,4483,8.40827078419205
jet airways,2019-03-24,kolkata,banglore,CCU → BOM → BLR,19:45:00,12:00 25 Mar,16h 15m,1 stop,No info,14231,24,3,6,1,1,19,Evening,14231,9.563248229345671
air india,2019-03-01,banglore,new delhi,BLR → BOM → AMD → DEL,08:50:00,23:55,15h 5m,2 stops,No info,17345,1,3,4,0,1,8,Morning,17345,9.7611172112444
