Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,journey_day,journey_month,journey_weekday,is_weekend,quarter,dep_hour,dep_time_bin,Price_capped,Price_log,weekday,is_holiday,duration_hours,duration_minutes,total_duration_mins,flight_type,Source_freq,Destination_freq,Airline_mean_price,Source_mean_price,total_duration_mins,journey_month,total_duration_mins^2,total_duration_mins journey_month,journey_month^2
indigo,2019-03-24,banglore,new delhi,BLR → DEL,22:20:00,01:10 22 Mar,2h 50m,non-stop,No info,3897,24,3,6,1,1,22,Night,3897,8.268218880067506,6,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.0872495787305748,5673.68290306868,8017.464269458353,170.0,3.0,28900.0,510.0,9.0
air india,2019-05-01,kolkata,banglore,CCU → IXR → BBI → BLR,05:50:00,13:15,7h 25m,2 stops,No info,7662,1,5,2,0,2,5,Morning,7662,8.944158830970403,2,0,7.0,25.0,445.0,Long,0.2687698932784123,0.2687698932784123,9612.427755568247,9158.389411354929,445.0,5.0,198025.0,2225.0,25.0
jet airways,2019-06-09,delhi,cochin,DEL → LKO → BOM → COK,09:25:00,04:25 10 Jun,19h,2 stops,No info,13882,9,6,6,1,2,9,Morning,13882,9.538420349034803,6,0,19.0,0.0,1140.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,1140.0,6.0,1299600.0,6840.0,36.0
indigo,2019-05-12,kolkata,banglore,CCU → NAG → BLR,18:05:00,23:30,5h 25m,1 stop,No info,6218,12,5,6,1,2,18,Evening,6218,8.735364401103888,6,0,5.0,25.0,325.0,Long,0.2687698932784123,0.2687698932784123,5673.68290306868,9158.389411354929,325.0,5.0,105625.0,1625.0,25.0
indigo,2019-03-01,banglore,new delhi,BLR → NAG → DEL,16:50:00,21:35,4h 45m,1 stop,No info,13302,1,3,4,0,1,16,Afternoon,13302,9.495744852683906,4,0,4.0,45.0,285.0,Medium,0.20567309492604383,0.0872495787305748,5673.68290306868,8017.464269458353,285.0,3.0,81225.0,855.0,9.0
spicejet,2019-06-24,kolkata,banglore,CCU → BLR,09:00:00,11:25,2h 25m,non-stop,No info,3873,24,6,0,0,2,9,Morning,3873,8.262042843966942,0,0,2.0,25.0,145.0,Medium,0.2687698932784123,0.2687698932784123,4338.284841075794,9158.389411354929,145.0,6.0,21025.0,870.0,36.0
jet airways,2019-03-12,banglore,new delhi,BLR → BOM → DEL,18:55:00,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087,12,3,1,0,1,18,Evening,11087,9.313618721429684,1,0,15.0,30.0,930.0,Long,0.20567309492604383,0.0872495787305748,11643.92335671603,8017.464269458353,930.0,3.0,864900.0,2790.0,9.0
jet airways,2019-03-01,banglore,new delhi,BLR → BOM → DEL,08:00:00,05:05 02 Mar,21h 5m,1 stop,No info,22270,1,3,4,0,1,8,Morning,22270,10.01104066270085,4,0,21.0,5.0,1265.0,Long,0.20567309492604383,0.0872495787305748,11643.92335671603,8017.464269458353,1265.0,3.0,1600225.0,3795.0,9.0
jet airways,2019-03-12,banglore,new delhi,BLR → BOM → DEL,08:55:00,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,11087,12,3,1,0,1,8,Morning,11087,9.313618721429684,1,0,25.0,30.0,1530.0,Long,0.20567309492604383,0.0872495787305748,11643.92335671603,8017.464269458353,1530.0,3.0,2340900.0,4590.0,9.0
multiple carriers,2019-05-27,delhi,cochin,DEL → BOM → COK,11:25:00,19:15,7h 50m,1 stop,No info,8625,27,5,0,0,2,11,Morning,8625,9.062536177207788,0,0,7.0,50.0,470.0,Long,0.42463958060288337,0.42463958060288337,10902.678093645485,10540.113536155202,470.0,5.0,220900.0,2350.0,25.0
air india,2019-06-01,delhi,cochin,DEL → BLR → COK,09:45:00,23:00,13h 15m,1 stop,No info,8907,1,6,5,1,2,9,Morning,8907,9.09470502837726,5,0,13.0,15.0,795.0,Long,0.42463958060288337,0.42463958060288337,9612.427755568247,10540.113536155202,795.0,6.0,632025.0,4770.0,36.0
indigo,2019-04-18,kolkata,banglore,CCU → BLR,20:20:00,22:55,2h 35m,non-stop,No info,4174,18,4,3,0,2,20,Evening,4174,8.336869637284956,3,0,2.0,35.0,155.0,Medium,0.2687698932784123,0.2687698932784123,5673.68290306868,9158.389411354929,155.0,4.0,24025.0,620.0,16.0
air india,2019-06-24,chennai,kolkata,MAA → CCU,11:40:00,13:55,2h 15m,non-stop,No info,4667,24,6,0,0,2,11,Morning,4667,8.448485993406447,0,0,2.0,15.0,135.0,Medium,0.03566747800037446,0.03566747800037446,9612.427755568247,4789.892388451443,135.0,6.0,18225.0,810.0,36.0
jet airways,2019-05-09,kolkata,banglore,CCU → BOM → BLR,21:10:00,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663,9,5,3,0,2,21,Night,9663,9.176162920174596,3,0,12.0,10.0,730.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,730.0,5.0,532900.0,3650.0,25.0
indigo,2019-04-24,kolkata,banglore,CCU → BLR,17:15:00,19:50,2h 35m,non-stop,No info,4804,24,4,2,0,2,17,Evening,4804,8.477412321404392,2,0,2.0,35.0,155.0,Medium,0.2687698932784123,0.2687698932784123,5673.68290306868,9158.389411354929,155.0,4.0,24025.0,620.0,16.0
air india,2019-03-03,delhi,cochin,DEL → AMD → BOM → COK,16:40:00,19:15 04 Mar,26h 35m,2 stops,No info,14011,3,3,6,1,1,16,Afternoon,14011,9.547669384317375,6,0,26.0,35.0,1595.0,Long,0.42463958060288337,0.42463958060288337,9612.427755568247,10540.113536155202,1595.0,3.0,2544025.0,4785.0,9.0
spicejet,2019-04-15,delhi,cochin,DEL → PNQ → COK,08:45:00,13:15,4h 30m,1 stop,No info,5830,15,4,0,0,2,8,Morning,5830,8.670943791222156,0,0,4.0,30.0,270.0,Medium,0.42463958060288337,0.42463958060288337,4338.284841075794,10540.113536155202,270.0,4.0,72900.0,1080.0,16.0
jet airways,2019-06-12,delhi,cochin,DEL → BOM → COK,14:00:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262,12,6,2,0,2,14,Afternoon,10262,9.236300473645716,2,0,22.0,35.0,1355.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,1355.0,6.0,1836025.0,8130.0,36.0
air india,2019-06-12,delhi,cochin,DEL → CCU → BOM → COK,20:15:00,19:15 13 Jun,23h,2 stops,No info,13381,12,6,2,0,2,20,Evening,13381,9.501665799342762,2,0,23.0,0.0,1380.0,Long,0.42463958060288337,0.42463958060288337,9612.427755568247,10540.113536155202,1380.0,6.0,1904400.0,8280.0,36.0
jet airways,2019-05-27,delhi,cochin,DEL → BOM → COK,16:00:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898,27,5,0,0,2,16,Afternoon,12898,9.464905067965136,0,0,20.0,35.0,1235.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,1235.0,5.0,1525225.0,6175.0,25.0
goair,2019-03-06,delhi,cochin,DEL → BOM → COK,14:10:00,19:20,5h 10m,1 stop,No info,19495,6,3,2,0,1,14,Afternoon,19495,9.877964595305045,2,0,5.0,10.0,310.0,Long,0.42463958060288337,0.42463958060288337,5861.056701030928,10540.113536155202,310.0,3.0,96100.0,930.0,9.0
air india,2019-03-21,banglore,new delhi,BLR → COK → DEL,22:00:00,13:20 19 Mar,15h 20m,1 stop,No info,6955,21,3,3,0,1,22,Night,6955,8.847359875474174,3,0,15.0,20.0,920.0,Long,0.20567309492604383,0.0872495787305748,9612.427755568247,8017.464269458353,920.0,3.0,846400.0,2760.0,9.0
indigo,2019-04-03,banglore,delhi,BLR → DEL,04:00:00,06:50,2h 50m,non-stop,No info,3943,3,4,2,0,2,4,Late Night,3943,8.279950715722526,2,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.11842351619546901,5673.68290306868,8017.464269458353,170.0,4.0,28900.0,680.0,16.0
indigo,2019-05-01,banglore,delhi,BLR → DEL,18:55:00,21:50,2h 55m,non-stop,No info,4823,1,5,2,0,2,18,Evening,4823,8.481358738407021,2,0,2.0,55.0,175.0,Medium,0.20567309492604383,0.11842351619546901,5673.68290306868,8017.464269458353,175.0,5.0,30625.0,875.0,25.0
jet airways,2019-05-06,kolkata,banglore,CCU → BOM → BLR,18:55:00,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757,6,5,0,0,2,18,Evening,7757,8.956479847999912,0,0,13.0,20.0,800.0,Long,0.2687698932784123,0.2687698932784123,11643.92335671603,9158.389411354929,800.0,5.0,640000.0,4000.0,25.0
jet airways,2019-06-09,delhi,cochin,DEL → IDR → BOM → COK,21:25:00,12:35 10 Jun,15h 10m,2 stops,No info,13292,9,6,6,1,2,21,Night,13292,9.4949928598676,6,0,15.0,10.0,910.0,Long,0.42463958060288337,0.42463958060288337,11643.92335671603,10540.113536155202,910.0,6.0,828100.0,5460.0,36.0
indigo,2019-06-01,delhi,cochin,DEL → LKO → COK,21:50:00,03:35 02 Jun,5h 45m,1 stop,No info,8238,1,6,5,1,2,21,Night,8238,9.01663425631559,5,0,5.0,45.0,345.0,Long,0.42463958060288337,0.42463958060288337,5673.68290306868,10540.113536155202,345.0,6.0,119025.0,2070.0,36.0
goair,2019-05-15,delhi,cochin,DEL → BOM → COK,07:00:00,12:55,5h 55m,1 stop,No info,7682,15,5,2,0,2,7,Morning,7682,8.946765374867635,2,0,5.0,55.0,355.0,Long,0.42463958060288337,0.42463958060288337,5861.056701030928,10540.113536155202,355.0,5.0,126025.0,1775.0,25.0
vistara,2019-06-18,banglore,delhi,BLR → DEL,09:45:00,12:35,2h 50m,non-stop,No info,4668,18,6,1,0,2,9,Morning,4668,8.448700194970938,1,0,2.0,50.0,170.0,Medium,0.20567309492604383,0.11842351619546901,7796.348643006263,8017.464269458353,170.0,6.0,28900.0,1020.0,36.0
